0.0730406	 1.58
0.1460812	 1.58
0.21912179999999998	 1.58
0.2921624	 1.58
0.365203	 1.58
0.4382436	 1.58
0.5112842	 1.58
0.5843248	 1.58
0.6573654	 1.58
0.730406	 1.58
0.8034466	 1.58
0.8764872	 1.58
0.9495277999999999	 1.58
1.0225684	 1.58
1.0956089999999998	 1.58
1.1686496	 1.58
1.2416901999999999	 1.58
1.3147307999999998	 1.58
1.3877713999999999	 1.58
1.4608119999999998	 1.58
1.5338526	 1.58
1.6068931999999998	 1.58
1.6799338	 1.58
1.7529743999999998	 1.58
1.8260149999999997	 1.58
1.8990555999999998	 1.58
1.9720961999999997	 1.58
2.0451368	 1.58
2.1181774	 1.58
2.191218	 1.58
2.2642586000000002	 1.58
2.3372992	 1.58
2.4103398	 1.58
2.4833804	 1.58
2.556421	 1.58
2.6294616	 1.58
2.7025022	 1.58
2.7755428	 1.58
2.8485834	 1.58
2.921624	 1.58
2.9946646	 1.58
3.0677052	 1.58
3.1407458	 1.58
3.2137864	 1.58
3.286827	 1.58
3.3598676	 1.58
3.4329082	 1.58
3.5059488	 1.58
3.5789893999999998	 1.58
3.65203	 1.58
3.7250706	 1.58
3.7981112	 1.58
3.8711518	 1.58
3.9441924	 1.58
4.017233	 1.58
4.0902736	 1.58
4.163314199999999	 1.58
4.236354799999999	 1.58
4.3093954	 1.58
4.382435999999999	 1.58
4.4554766	 1.58
4.5285172	 1.58
4.601557799999999	 1.58
4.6745984	 1.58
4.7476389999999995	 1.58
4.820679599999999	 1.58
4.8937202	 1.58
4.966760799999999	 1.58
5.039801399999999	 1.58
5.112842	 1.58
5.185882599999999	 1.58
5.2589232	 1.58
5.3319638	 1.58
5.405004399999999	 1.58
5.478045	 1.58
5.5510855999999995	 1.58
5.624126199999999	 1.58
5.6971668	 1.58
5.770207399999999	 1.58
5.843247999999999	 1.58
5.9162886	 1.58
5.989329199999999	 1.58
6.062369799999999	 1.58
6.1354104	 1.58
6.208450999999999	 1.58
6.2814916	 1.58
6.3545321999999995	 1.58
6.427572799999999	 1.58
6.5006134	 1.58
6.573653999999999	 1.58
6.646694599999999	 1.58
6.7197352	 1.58
6.792775799999999	 1.58
6.865816399999999	 1.58
6.938857	 1.58
7.011897599999999	 1.58
